"ID","ISDELETED","MASTERRECORDID","NAME","TYPE","RECORDTYPEID","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGADDRESS","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGADDRESS","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","PHOTOURL","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAW","JIGSAWCOMPANYID","CLEANSTATUS","ACCOUNTSOURCE","DUNSNUMBER","TRADESTYLE","NAICSCODE","NAICSDESC","YEARSTARTED","SICDESC","DANDBCOMPANYID","CUSTOMERPRIORITY__C","SLA__C","ACTIVE__C","NUMBEROFLOCATIONS__C","UPSELLOPPORTUNITY__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","FRUIT_RECIPIENT__C","LOCATION__LATITUDE__S","LOCATION__LONGITUDE__S","LOCATION__C","NEIGHBORHOOD__C"
"001o000000BR4twAAD","false","","Coco's Kids","","012o00000007urEAAQ","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BR4twAAD","","","","","","","","","","005o0000001By2iAAC","2014-10-11T02:37:03.000Z","005o0000001By2iAAC","2014-10-11T17:37:38.000Z","005o0000001By2iAAC","2014-10-11T17:37:38.000Z","","2014-10-11T17:38:40.000Z","2014-10-11T17:38:40.000Z","","","Pending","","","","","","","","","","","","","","","","true","","","",""
"001o000000BR7CyAAL","false","","finkle_g","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BR7CyAAL","","","","","","","","","","005o0000001By2iAAC","2014-10-11T17:25:22.000Z","005o0000001By2iAAC","2014-10-11T17:37:23.000Z","005o0000001By2iAAC","2014-10-11T17:37:23.000Z","","2014-10-12T02:19:49.000Z","2014-10-12T02:19:49.000Z","","","Pending","","","","","","","","","","","","","","","","false","47.542679","-122.265468","","South Seattle"
"001o000000BR7bCAAT","false","","house_c","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BR7bCAAT","","","","","","","","","","005o0000001By2iAAC","2014-10-11T23:22:32.000Z","005o0000001By2iAAC","2014-10-11T23:22:32.000Z","005o0000001By2iAAC","2014-10-11T23:22:32.000Z","","2014-10-12T06:37:43.000Z","2014-10-12T06:37:43.000Z","","","Pending","","","","","","","","","","","","","","","","false","47.578769","-122.365983","","West Seattle"
"001o000000BR7pEAAT","false","","scott_z","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BR7pEAAT","","","","","","","","","","005o0000001By2iAAC","2014-10-12T01:54:47.000Z","005o0000001By2iAAC","2014-10-12T01:54:47.000Z","005o0000001By2iAAC","2014-10-12T01:54:47.000Z","","2014-10-12T06:45:25.000Z","2014-10-12T06:45:25.000Z","","","Pending","","","","","","","","","","","","","","","","false","47.677","-122.385","","Ballard"
"001o000000BaVTUAA3","false","","Dickenson plc","Customer - Channel","","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","(785) 241-6200","(785) 241-6201","CC634267","dickenson-consulting.com","/services/images/photo/001o000000BaVTUAA3","6752","Consulting","5.0E7","120","Private","","","","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","Low","Bronze","Yes","2.0","No","7425","2014-05-08","false","","","",""
"001o000000BaVTOAA3","false","","GenePoint","Customer - Channel","","","345 Shoreline Park
Mountain View, CA 94043
USA","Mountain View","CA","","","","","","345 Shoreline Park
Mountain View, CA 94043
USA","","","","","","","","(650) 867-3450","(650) 867-9895","CC978213","www.genepoint.com","/services/images/photo/001o000000BaVTOAA3","3712","Biotechnology","3.0E7","265","Private","","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","Cold","","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","005o0000001By2iAAC","2014-10-11T01:22:48.000Z","","","","","","Pending","","","","","","","","","Low","Bronze","Yes","1.0","Yes","7324","2014-05-08","false","","","",""
"001o000000BhPXuAAN","false","","shane_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXuAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5468018","-122.3758466","","West Seattle"
"001o000000BhPXgAAN","false","","parkins_t","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXgAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.7067937","-122.3672541","","Ballard"
"001o000000BhPXhAAN","false","","fisher_s","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXhAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.5550397","-122.2699044","","South Seattle"
"001o000000BhPXbAAN","false","","kip_t","","012o00000007ur9AAA","","","","","","","","","","","","","","","","","","","","","","/services/images/photo/001o000000BhPXbAAN","","","","","","","","","","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","005o0000001By2iAAC","2014-10-12T08:23:25.000Z","","","","","","Pending","","","","","","","","","","","","","","","","false","47.6781561","-122.3845812","","Ballard"
